Recombinations
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 43, at = 34, to = 26)], startingpoint = 34, pathevaluation = 0.999887842255139)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 212, at = 38, to = 29)], startingpoint = 38, pathevaluation = 0.1480192126417132)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 158, at = 36, to = 49)], startingpoint = 36, pathevaluation = 0.9999999999848924)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 124, at = 63, to = 61)], startingpoint = 63, pathevaluation = 0.999989577471963)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 78, at = 48, to = 47)], startingpoint = 48, pathevaluation = 0.9999999480329612)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 158, at = 43, to = 41)], startingpoint = 43, pathevaluation = 0.9999999999923126)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 201, at = 70, to = 24)], startingpoint = 70, pathevaluation = 0.49990233753125407)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 94, at = 65, to = 70)], startingpoint = 65, pathevaluation = 0.9998688789313218)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 216, at = 51, to = 39)], startingpoint = 51, pathevaluation = 0.9996529428094999)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[], startingpoint = 17, pathevaluation = 0.0)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 90, at = 43, to = 14)], startingpoint = 43, pathevaluation = 0.9999999495256002)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 173, at = 11, to = 28)], startingpoint = 11, pathevaluation = 0.9999999999995058)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 179, at = 55, to = 42)], startingpoint = 55, pathevaluation = 0.9999999999841872)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 82, at = 70, to = 35)], startingpoint = 70, pathevaluation = 0.9999999891296513)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 87, at = 8, to = 20)], startingpoint = 8, pathevaluation = 0.9999999998619611)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 139, at = 28, to = 22)], startingpoint = 28, pathevaluation = 0.9999999999996901)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 85, at = 5, to = 4)], startingpoint = 5, pathevaluation = 0.9999999999994399)"
